organization,month,commits,additions,deletions,lines_changed,merge_commits
anthropics,2025-01,525,162347,55809,218156,122
anthropics,2025-02,476,65370,126826,192196,119
anthropics,2025-03,529,170568,61108,231676,129
anthropics,2025-04,458,55761,43740,99501,67
anthropics,2025-05,605,140209,61586,201795,115
anthropics,2025-06,477,110254,24112,134366,92
anthropics,2025-07,662,61817,43092,104909,104
anthropics,2025-08,612,108321,100381,208702,115
anthropics,2025-09,601,126848,36947,163795,89
anthropics,2025-10,700,234939,125582,360521,120
anthropics,2025-11,687,375397,192280,567677,123
anthropics,2025-12,522,158577,45329,203906,111
anthropics,2026-01,3768,549689,258084,807773,173
anthropics,2026-02,1963,574927,177723,752650,149
anthropics,2026-03,1036,233969,448836,682805,202
anthropics,2026-04,1125,692144,35055,727199,141
anthropics,2026-05,1251,712253,58364,770617,147
anthropics,2026-06,3061,764125,101580,865705,130
anthropics,2026-07,3206,340256,85277,425533,103
anthropics,2026-08,2785,1150220,166249,1316469,91
openai,2025-01,321,265839,77168,343007,16
openai,2025-02,302,318933,145835,464768,15
openai,2025-03,698,506727,138167,644894,138
openai,2025-04,796,599944,157439,757383,14
openai,2025-05,724,352646,268804,621450,45
openai,2025-06,522,287911,78153,366064,41
openai,2025-07,631,673390,217836,891226,9
openai,2025-08,1422,768459,318434,1086893,116
openai,2025-09,1023,1025377,241730,1267107,24
openai,2025-10,1250,660342,216130,876472,168
openai,2025-11,839,331526,161544,493070,45
openai,2025-12,1097,428214,386177,814391,101
openai,2026-01,1300,508440,282021,790461,47
openai,2026-02,1705,982711,594730,1577441,77
openai,2026-03,1860,1334137,542619,1876756,53
openai,2026-04,1754,1039086,312559,1351645,44
openai,2026-05,1957,2291496,328142,2619638,70
openai,2026-06,1591,1078554,186110,1264664,52
openai,2026-07,2067,1385645,417644,1803289,63
openai,2026-08,3543,3243045,715640,3958685,36
