repository,month,commits,lines_changed,merge_commits
anthropics/ClaudeForFoundationModels,2026-06,6,6434,0
anthropics/ClaudeForFoundationModels,2026-07,8,3906,0
anthropics/ClaudeForFoundationModels,2026-08,3,4247,0
anthropics/OpenROAD-flow-scripts,2025-01,302,105753,120
anthropics/OpenROAD-flow-scripts,2025-02,276,119345,117
anthropics/OpenROAD-flow-scripts,2025-03,269,88125,120
anthropics/OpenROAD-flow-scripts,2025-04,166,8378,64
anthropics/OpenROAD-flow-scripts,2025-05,178,28936,64
anthropics/OpenROAD-flow-scripts,2025-06,179,68065,64
anthropics/OpenROAD-flow-scripts,2025-07,179,7366,75
anthropics/OpenROAD-flow-scripts,2025-08,200,68762,73
anthropics/OpenROAD-flow-scripts,2025-09,164,4466,59
anthropics/OpenROAD-flow-scripts,2025-10,242,82635,68
anthropics/OpenROAD-flow-scripts,2025-11,135,249662,46
anthropics/OpenROAD-flow-scripts,2025-12,192,22307,66
anthropics/OpenROAD-flow-scripts,2026-01,248,12144,95
anthropics/OpenROAD-flow-scripts,2026-02,282,140774,109
anthropics/OpenROAD-flow-scripts,2026-03,348,415090,127
anthropics/OpenROAD-flow-scripts,2026-04,307,12142,108
anthropics/OpenROAD-flow-scripts,2026-05,211,23156,68
anthropics/OpenROAD-flow-scripts,2026-06,133,353465,41
anthropics/OpenROAD-flow-scripts,2026-07,175,6614,43
anthropics/OpenROAD-flow-scripts,2026-08,52,60299,22
anthropics/agent-sdk-workshop,2026-03,1,6622,0
anthropics/amulet2,2025-12,2,82,0
anthropics/anthropic-cli,2026-02,1,5,0
anthropics/anthropic-cli,2026-04,116,24458,0
anthropics/anthropic-cli,2026-05,39,9120,0
anthropics/anthropic-cli,2026-06,49,2662,0
anthropics/anthropic-cli,2026-07,36,2199,0
anthropics/anthropic-cli,2026-08,59,11018,0
anthropics/anthropic-sdk-csharp,2025-06,3,41218,0
anthropics/anthropic-sdk-csharp,2025-07,22,42998,0
anthropics/anthropic-sdk-csharp,2025-08,48,67185,2
anthropics/anthropic-sdk-csharp,2025-09,3,4328,0
anthropics/anthropic-sdk-csharp,2025-10,24,38147,0
anthropics/anthropic-sdk-csharp,2025-11,112,122206,12
anthropics/anthropic-sdk-csharp,2025-12,26,96696,0
anthropics/anthropic-sdk-csharp,2026-01,47,83484,0
anthropics/anthropic-sdk-csharp,2026-02,7,70671,0
anthropics/anthropic-sdk-csharp,2026-03,2,27719,0
anthropics/anthropic-sdk-csharp,2026-04,10,139805,0
anthropics/anthropic-sdk-csharp,2026-05,49,77889,0
anthropics/anthropic-sdk-csharp,2026-06,45,82766,0
anthropics/anthropic-sdk-csharp,2026-07,31,40525,0
anthropics/anthropic-sdk-csharp,2026-08,66,146164,1
anthropics/anthropic-sdk-go,2025-01,19,2300,0
anthropics/anthropic-sdk-go,2025-02,22,2657,0
anthropics/anthropic-sdk-go,2025-03,21,22632,0
anthropics/anthropic-sdk-go,2025-04,30,1969,0
anthropics/anthropic-sdk-go,2025-05,60,13082,10
anthropics/anthropic-sdk-go,2025-06,13,566,0
anthropics/anthropic-sdk-go,2025-07,40,4032,0
anthropics/anthropic-sdk-go,2025-08,25,1404,0
anthropics/anthropic-sdk-go,2025-09,29,5198,0
anthropics/anthropic-sdk-go,2025-10,12,2263,2
anthropics/anthropic-sdk-go,2025-11,12,2876,0
anthropics/anthropic-sdk-go,2026-01,33,3259,0
anthropics/anthropic-sdk-go,2026-02,28,17910,0
anthropics/anthropic-sdk-go,2026-03,53,7567,0
anthropics/anthropic-sdk-go,2026-04,40,22257,0
anthropics/anthropic-sdk-go,2026-05,53,28279,0
anthropics/anthropic-sdk-go,2026-06,46,13987,0
anthropics/anthropic-sdk-go,2026-07,33,8519,0
anthropics/anthropic-sdk-go,2026-08,68,67884,0
anthropics/anthropic-sdk-java,2025-01,73,68554,0
anthropics/anthropic-sdk-java,2025-02,40,33642,0
anthropics/anthropic-sdk-java,2025-03,63,84359,0
anthropics/anthropic-sdk-java,2025-04,40,20909,0
anthropics/anthropic-sdk-java,2025-05,25,40499,2
anthropics/anthropic-sdk-java,2025-06,17,2476,3
anthropics/anthropic-sdk-java,2025-07,58,12685,2
anthropics/anthropic-sdk-java,2025-08,20,5915,1
anthropics/anthropic-sdk-java,2025-09,45,31714,0
anthropics/anthropic-sdk-java,2025-10,10,18093,0
anthropics/anthropic-sdk-java,2025-11,9,8651,0
anthropics/anthropic-sdk-java,2026-01,46,24210,0
anthropics/anthropic-sdk-java,2026-02,30,69475,1
anthropics/anthropic-sdk-java,2026-03,54,15588,0
anthropics/anthropic-sdk-java,2026-04,8,157090,0
anthropics/anthropic-sdk-java,2026-05,54,104133,0
anthropics/anthropic-sdk-java,2026-06,80,99485,0
anthropics/anthropic-sdk-java,2026-07,28,43357,0
anthropics/anthropic-sdk-java,2026-08,81,260159,1
anthropics/anthropic-sdk-php,2025-08,10,36502,0
anthropics/anthropic-sdk-php,2025-09,10,4268,0
anthropics/anthropic-sdk-php,2025-11,42,29637,0
anthropics/anthropic-sdk-php,2026-01,62,77683,0
anthropics/anthropic-sdk-php,2026-02,30,19713,0
anthropics/anthropic-sdk-php,2026-03,28,7621,0
anthropics/anthropic-sdk-php,2026-04,61,48404,0
anthropics/anthropic-sdk-php,2026-05,38,24628,0
anthropics/anthropic-sdk-php,2026-06,39,29915,0
anthropics/anthropic-sdk-php,2026-07,30,17717,0
anthropics/anthropic-sdk-php,2026-08,76,94428,8
anthropics/anthropic-sdk-python,2025-01,39,2710,0
anthropics/anthropic-sdk-python,2025-02,31,2951,0
anthropics/anthropic-sdk-python,2025-04,41,1296,0
anthropics/anthropic-sdk-python,2025-05,26,4229,0
anthropics/anthropic-sdk-python,2025-06,43,9399,1
anthropics/anthropic-sdk-python,2025-07,56,5641,0
anthropics/anthropic-sdk-python,2025-08,19,516,0
anthropics/anthropic-sdk-python,2025-09,48,9621,0
anthropics/anthropic-sdk-python,2025-10,14,4594,0
anthropics/anthropic-sdk-python,2025-11,26,6698,0
anthropics/anthropic-sdk-python,2026-01,25,6032,0
anthropics/anthropic-sdk-python,2026-02,32,12935,0
anthropics/anthropic-sdk-python,2026-03,43,5398,0
anthropics/anthropic-sdk-python,2026-04,45,28530,0
anthropics/anthropic-sdk-python,2026-05,53,23743,0
anthropics/anthropic-sdk-python,2026-06,44,18685,0
anthropics/anthropic-sdk-python,2026-07,37,12071,0
anthropics/anthropic-sdk-python,2026-08,87,51914,0
anthropics/anthropic-sdk-ruby,2025-01,44,32951,0
anthropics/anthropic-sdk-ruby,2025-02,47,25921,0
